신문사,일자,제목,주소,내용,이미지 경로
연합뉴스언론사 선정,14시간 전,'딥페이크 온상' 텔레그램 이용자 8월 증가폭 역대 최대 31만명,https://www.yna.co.kr/view/AKR20240904150100017?input=1195m,10대 이하가 32% 달해…딥페이크 논란이 '노이즈 마케팅 효과' 최현석 노재현 기자 = 딥페이크 성 착취물 유포의 온상이 된 메신저 텔레그램의 국내 이용자가 지난 달 역대 최대 규모로 급증했다. 텔레그램 이용자 증가 폭의 3분의 1인 약 10만 명이 10대 이하로 집계돼 피해 방지 등 대책 마련이...,static/images\'딥페이크_온상'_텔레그램_이용자_8월_증가폭_역대_최대_31만명.jpg
뉴시스언론사 선정,8시간 전,교사·학생 딥페이크 성착취물 만들어 판 고교생 조사,https://www.newsis.com/view/NISX20240905_0002876762,"· 딥페이크 성착취물을 만들어 판매한 남자 고등학생이 경찰에 붙잡혔다. 경기 안산상록경찰서는 청소년성보호법상 아동·청소년성착취물제작 및 배포, 성폭력처벌법위반 등 혐의로 대구·경북지역 고등학생 A군을 입건해 조사 중이라고 5일 밝혔다. A군은 지난 6월 텔레그램을 통해 성착취물을...",static/images\교사·학생_딥페이크_성착취물_만들어_판_고교생_조사.jpg
SBS언론사 선정,7시간 전,"1호 프로파일러 권일용 ""딥페이크 성착취물, 청소년 도박 연관""",https://news.sbs.co.kr/news/endPage.do?news_id=N1007789676&plink=ORI&cooper=NAVER,"▲ 권일용 동국대 경찰사법대학원 겸임교수 딥페이크 성 착취물 문제에 청소년 도박 문제가 연동돼 있어 경각심이 필요하다는 지적이 제기됐습니다. 국내... 그는 ""청소년들이 딥페이크로 불법 합성물을 만들려면 성 착취 영상물이 있어야 하는데 이런 영상을 너무나 쉽게 접할 수 있는 것도 문제""라면서 불법...","static/images\1호_프로파일러_권일용_""딥페이크_성착취물,_청소년_도박_연관"".jpg"
KBS,41분 전,학교 딥페이크 가해자에 ‘구상권 청구’,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8052719&ref=A,"[앵커] 부산교육청이 학교 딥페이크 근절을 위한 종합 대책을 발표했습니다. 딥페이크 성범죄를 학교 폭력 가운데 가장 높은 수위로 처벌하고, 가해자 측에 피해자 지원 비용에 대한 구상권을 청구하기로 했습니다. 장성길 기자가 취재했습니다. [리포트] 학교에서 성범죄가 발생하면 교장은 즉시...",static/images\학교_딥페이크_가해자에_‘구상권_청구’.jpg
헤럴드경제언론사 선정,3시간 전,[단독]“영상 의뢰했지? 15만원 내라” 협박… ‘딥페이크 덫’ 빠진 10...,https://news.heraldcorp.com/view.php?ud=20240905050635,서울의 한 중학교에 다니는 A군은 텔레그램에서 ‘지인의 개인정보와 사진을 주면 딥페이크 영상을 만들어주겠다’는 채널을 보고 호기심이 일었다. 1년 여자 선배의 얼굴사진을 SNS에서 캡처해 개인정보와 함께 넘겼다. 채널 운영자는 갑자기 돌변했다. “너 만들어 달라고 한 거 폭로한다. 10분 내로...,static/images\[단독]“영상_의뢰했지?_15만원_내라”_협박…_‘딥페이크_덫’_빠진_10....jpg
MBC언론사 선정,13시간 전,'성착취물·딥페이크 거래' 10대‥'디스코드'로 공유,https://imnews.imbc.com/replay/2024/nwtoday/article/6633809_36523.html,◀ 앵커 ▶ SNS를 통해 아동·청소년 성착취물과 딥페이크 영상을 사고판 10대들이 경찰에 무더기로 붙잡혔습니다. 10대들이 많이 사용하는 '디스코드'가... 그런데 이 앱을 통해 아동·청소년 성 착취물과 불법 딥페이크 영상을 사고판 남성들이 경찰에 적발됐습니다. 판매자 3명 모두와 구매자 대부분은...,static/images\'성착취물·딥페이크_거래'_10대‥'디스코드'로_공유.jpg
더팩트언론사 선정,13시간 전,TF 출범에 법안 발의까지…'딥페이크 성범죄' 근절 나선 與野,http://news.tf.co.kr/read/ptoday/2131051.htm,떠오른 딥페이크(불법합성물) 성범죄에 여야 정치권이 대응에 나섰다. 더불어민주당이 당내 대책단을 출범시킨 데 이어 국민의힘도 태스크포스(TF)를 구성했다. 국회의원들도 잇따라 관련 법안을 발의하는 등 속도를 내는 모습이다. 5일 정치권에 따르면 민주당은 이재명 대표 지시로 당에 성범죄...,static/images\TF_출범에_법안_발의까지…'딥페이크_성범죄'_근절_나선_與野.jpg
뉴시스언론사 선정,11시간 전,"[단독]텔레그램 ""딥페이크 성범죄물 적극 삭제…신고 후 회신, 원래 없어...",https://www.newsis.com/view/NISX20240904_0002875828,"텔레그램이 최근 자사 플랫폼을 두고 논란이 되고 있는 딥페이크 성범죄물 유포 사태에 대해 ""약관을 위반한 신고된 콘텐츠를 적극 삭제해 오고 있었다... 박성혜 한국여성인권진흥원 디지털성범죄피해자지원센터장은 지난 4일 국회 여성가족위원회의 성범죄 관련 긴급 현안질의에 참석해 “어제(3일)...","static/images\[단독]텔레그램_""딥페이크_성범죄물_적극_삭제…신고_후_회신,_원래_없어....jpg"
뉴스1,9시간 전,"""딥페이크 성범죄 선제대응""…대구교육청, TF팀 구축",https://www.news1.kr/local/daegu-gyeongbuk/5532437,"대구교육청은 5일 '학교 딥페이크 성범죄 대응 TF(태스크포스)팀'을 구축했다고 밝혔다. 지인이나 연예인의 사진을 합성해 유포하는 '딥페이크' 범죄에 신속히 대응하기 위한 조치로, TF팀은 교육국장을 단장으로 5개의 업무팀과 1개의 민관합동협의체로 구성됐다. 5개 업무팀은 사안조사, 피해회복 지원...","static/images\""딥페이크_성범죄_선제대응""…대구교육청,_TF팀_구축.jpg"
국민일보언론사 선정,1일 전,연예인 딥페이크·아동 성착취물 SNS로 판매한 10대들,https://www.kmib.co.kr/article/view.asp?arcid=0020491234&code=61121211&cp=nv,"딥페이크 불법 합성물과 아동·청소년 성 착취물을 해외 사회관계망서비스(SNS)를 통해 판매한 10대 3명이 경찰에 붙잡혔다. 부산경찰청 여성... 경찰에 따르면 고교 졸업생인 A군은 올해 4월부터 5월까지 해외 커뮤니티 앱에서 유명 연예인 등의 얼굴을 합성한 성 착취물 1230개, 아동·청소년 성...",static/images\연예인_딥페이크·아동_성착취물_SNS로_판매한_10대들.jpg
